Players|%Owned|Tack|Tack Asst|Sack|Int|Force Fum|Pass Def|
Luke Kuechly|89|103|51|2|3|1|9|
Lavonte David|82|108|33|4|3|2|11|
Paul Posluszny|79|111|27|2|2|2|9|
Vontaze Burfict|76|100|53|3|1|2|7|
Karlos Dansby|69|92|46|4|1|1|11|
Patrick Willis|65|109|27|4|1|3|5|
Derrick Johnson|58|114|17|2|1|2|9|
Alec Ogletree|46|106|18|2|2|2|8|
James Laurinaitis|43|102|17|3|2|1|8|
DeMeco Ryans|41|96|24|2|1|1|7|
Paul Worrilow|37|97|44|1|1|3|4|
Bobby Wagner|35|94|48|4|2|1|7|
Jerrell Freeman|34|85|39|3|1|2|3|
Chad Greenway|32|95|34|3|1|1|5|
Jerod Mayo|32|91|53|4|1|2|3|
Von Miller|30|52|16|16|1|4|9|
NaVorro Bowman|29|69|20|2|1|2|5|
Brian Cushing|28|87|27|4|3|2|8|
Daryl Smith|28|76|42|3|2|1|12|
Lawrence Timmons|24|86|34|2|2|2|6|
Stephen Tulloch|23|83|36|3|1|2|4|
DeAndre Levy|23|76|33|1|2|1|12|
D'Qwell Jackson|23|84|43|2|1|1|6|
Ryan Shazier|22|81|34|2|1|2|7|
Khalil Mack|18|59|24|10|2|2|2|
Justin Houston|16|56|9|17|1|2|6|
Thomas Davis|16|80|39|2|2|1|9|
Mychal Kendricks|16|91|22|2|2|1|4|
A.J. Hawk|16|80|27|3|1|1|2|
Curtis Lofton|14|93|33|2|1|2|5|
C.J. Mosley|14|81|42|2|1|1|7|
Nick Roach|12|85|34|3|1|1|4|
Lance Briggs|12|79|27|2|2|2|8|
Wesley Woodyard|10|89|28|3|2|2|7|
Danny Trevathan|10|78|22|2|2|1|9|
Aldon Smith|9|55|14|14|1|3|1|
Julius Peppers|8|36|13|8|1|3|5|
Perry Riley Jr.|8|83|36|3|1|2|7|
Manti Te'o|6|85|22|1|1|1|6|
Jamie Collins|6|73|43|5|2|1|3|
Donald Butler|6|91|25|2|1|1|4|
Mason Foster|6|82|25|3|1|1|7|
David Harris|6|76|40|2|1|1|3|
Jon Beason|5|86|31|1|1|1|4|
Koa Misi|3|92|21|3|0|1|4|
Brad Jones|3|92|33|3|0|1|3|
Kevin Minter|2|97|23|1|1|1|3|
Chris Kirksey|1|74|37|3|1|1|5|
Telvin Smith|1|87|22|1|1|1|4|
Keenan Robinson|1|72|45|1|1|2|6|
Joplo Bartu|1|71|32|3|1|3|6|
Emmanuel Lamur|0|72|42|2|2|1|4
