Players|%Owned|Games|Rec|Rec Yds|Rec Tds|Rec 100 yds|
Antonio Brown|100|16|101|1301|7|5|
Demaryius Thomas|100|16|109|1403|11|5|
A.J. Green|100|16|95|1375|10|5|
Jordy Nelson|100|16|98|1307|10|5|
Dez Bryant|100|16|107|1460|11|6|
Keenan Allen|100|16|91|1190|9|4|
Alshon Jeffery|100|16|87|1246|8|4|
Julio Jones|100|16|108|1397|10|5|
Calvin Johnson|100|16|100|1480|13|6|
Brandon Marshall|100|16|93|1288|11|5|
Roddy White|99|15|79|1029|7|3|
Pierre Garcon|99|16|92|1132|7|4|
Randall Cobb|99|15|85|1040|8|3|
Wes Welker|99|15|87|987|7|3|
Vincent Jackson|99|16|80|1159|7|4|
Larry Fitzgerald|99|16|87|1123|7|3|
Andre Johnson|99|16|97|1294|6|5|
Victor Cruz|99|16|84|1130|6|4|
DeSean Jackson|98|16|68|998|6|3|
Percy Harvin|98|15|71|802|6|2|
Michael Crabtree|97|16|73|949|7|3|
Cordarrelle Patterson|97|16|73|867|6|2|
Michael Floyd|97|16|71|1032|6|3|
T.Y. Hilton|96|16|72|994|6|3|
Torrey Smith|96|16|70|1088|7|3|
Julian Edelman|95|16|78|916|7|2|
Jeremy Maclin|94|15|65|891|7|2|
Eric Decker|94|16|72|950|5|3|
Marques Colston|94|15|76|1003|6|3|
Mike Wallace|94|16|63|952|6|3|
Emmanuel Sanders|92|16|67|898|5|2|
Reggie Wayne|92|13|63|804|5|2|
Golden Tate|92|16|69|895|6|2|
Terrance Williams|92|16|62|900|6|2|
Kendall Wright|91|16|96|1072|4|3|
Sammy Watkins|90|16|72|914|5|2|
Brandin Cooks|89|16|65|769|5|2|
Anquan Boldin|87|15|63|807|4|2|
Mike Evans|85|16|62|930|5|2|
Rueben Randle|82|16|59|876|6|2|
Dwayne Bowe|82|15|69|889|5|2|
Riley Cooper|82|16|54|789|6|2|
Cecil Shorts III|78|14|64|833|4|3|
Kelvin Benjamin|75|16|58|819|5|2|
DeAndre Hopkins|75|16|55|800|6|2|
Justin Hunter|67|16|43|691|6|1|
Markus Wheaton|62|16|51|664|6|0|
Brian Hartline|58|16|59|765|4|2|
Tavon Austin|57|16|49|561|3|0|
Hakeem Nicks|55|15|49|686|6|1|
Danny Amendola|45|14|56|662|5|1|
Marvin Jones|38|13|46|622|5|1|
Steve Smith Sr.|33|15|54|722|4|1|
Greg Jennings|32|15|66|829|4|2|
Kenny Stills|31|16|45|702|5|1|
Jordan Matthews|30|16|47|630|6|1|
James Jones|28|16|61|799|4|2|
Jarrett Boykin|28|16|59|741|4|1|
Doug Baldwin|27|16|48|646|5|1|
Kenny Britt|25|16|45|640|5|0|
Aaron Dobson|23|14|52|731|5|2|
Jerricho Cotchery|16|15|38|494|4|0|
Miles Austin|16|15|32|380|2|0|
Andrew Hawkins|13|16|61|657|3|1|
Marqise Lee|13|16|57|711|4|1|
Stevie Johnson|12|16|45|549|5|0|
Kenbrell Thompkins|12|16|21|284|3|0|
Harry Douglas|11|16|61|724|3|1|
Mike Williams|9|16|48|633|4|1|
Odell Beckham Jr.|7|16|50|682|3|1|
Andre Holmes|6|16|23|306|3|0|
Rod Streater|6|16|43|583|3|0|
Robert Woods|5|16|39|566|4|0|
Denarius Moore|5|16|47|615|3|1|
Nate Washington|5|16|42|602|3|0|
Malcom Floyd|4|13|32|499|4|0|
John Brown|3|16|45|495|3|0|
Cody Latimer|3|16|36|504|5|0|
Donnie Avery|2|16|25|343|3|0|
Jermaine Kearse|2|16|30|468|4|0|
Brandon Gibson|2|15|45|540|3|0|
Marlon Brown|2|16|25|320|4|0|
Jeremy Kerley|1|15|50|613|2|1|
Brian Quick|1|16|27|359|2|0|
Allen Robinson|1|16|40|572|3|0|
Donte Moncrief|1|16|19|266|3|0|
Davante Adams|1|16|35|466|3|0|
Jarvis Landry|1|16|35|444|4|0|
Martavis Bryant|0|16|31|488|3|0|
Marquess Wilson|0|16|26|363|4|0
