Seattle Seahawks|4|46|12|22|4|301|194.3|104.1|0|1|110.0|
Cincinnati Bengals|4|48|11|18|4|294|218.8|104.3|1|1|109.0|
Denver Broncos|4|46|10|14|4|367|238.3|107.6|1|2|108.0|
Arizona Cardinals|4|45|11|18|4|331|239.0|94.4|1|1|106.0|
Chicago Bears|9|36|14|19|5|405|240.0|138.1|0|1|105.0|
St. Louis Rams|4|51|11|13|4|359|245.0|111.1|1|0|101.0|
New England Patriots|10|45|12|18|3|347|254.8|125.3|1|1|101.0|
Pittsburgh Steelers|12|40|10|13|4|356|218.4|109.8|0|2|99.0|
San Francisco 49ers|8|38|11|17|4|285|230.1|96.8|1|1|98.0|
Kansas City Chiefs|6|40|9|13|3|387|240.9|135.9|0|3|98.0|
Green Bay Packers|9|46|13|14|3|414|251.9|122.0|0|1|97.0|
Indianapolis Colts|10|41|11|15|2|377|228.4|121.3|0|3|97.0|
Carolina Panthers|12|48|8|16|4|295|219.4|92.2|0|0|96.0|
Oakland Raiders|5|42|14|13|3|385|234.4|106.2|0|1|93.0|
Cleveland Browns|4|41|9|16|3|387|232.5|120.0|0|1|90.0|
New Orleans Saints|6|46|8|13|2|355|212.9|118.5|1|1|87.0|
Buffalo Bills|9|49|8|17|2|395|215.0|134.1|0|0|86.0|
Houston Texans|10|38|11|12|3|421|213.8|124.7|0|1|85.0|
Jacksonville Jaguars|11|36|13|11|3|401|232.2|126.1|0|1|84.0|
Washington Redskins|10|35|10|16|3|397|244.4|113.4|1|0|81.0|
Tennessee Titans|9|38|9|15|3|420|254.1|131.9|0|0|80.0|
Detroit Lions|9|38|8|13|2|388|255.0|104.8|1|1|79.0|
Baltimore Ravens|11|41|10|14|1|356|235.9|111.8|1|1|79.0|
Tampa Bay Buccaneers|7|33|8|17|3|415|271.3|105.0|1|0|78.0|
Philadelphia Eagles|7|36|11|16|2|412|269.4|117.8|0|0|75.0|
Miami Dolphins|5|39|7|15|2|355|245.0|116.4|1|0|75.0|
Dallas Cowboys|11|33|7|12|3|411|253.9|125.1|2|0|74.0|
New York Jets|11|39|10|11|2|388|240.9|110.3|1|0|74.0|
Minnesota Vikings|10|34|10|11|1|440|263.7|109.1|0|2|73.0|
San Diego Chargers|10|37|10|12|2|335|237.2|120.3|0|0|71.0|
Atlanta Falcons|9|30|11|13|2|401|245.0|129.7|0|0|66.0|
New York Giants|8|31|10|13|2|395|248.8|121.9|1|0|68.0|
